12	16	-18	-8	-16	2	-12	8	12	0	10	16	18	-6	-14	6	-12	-20	4	-20
-2	-16	-8	-16	14	-4	12	-20	-8	0	-2	8	-14	-20	4	0	8	2	12	-8
-20	-16	4	-20	2	-10	18	-16	6	-16	2	10	-6	16	-14	-10	16	8	0	-14
6	-2	0	6	2	-2	-8	-16	-14	4	-14	-18	-16	6	-18	-2	-6	2	-4	8
8	6	-2	-14	-18	0	18	0	0	-20	-18	12	-6	18	-2	6	0	12	6	-4
6	-8	-8	8	-10	18	2	6	-2	-12	18	10	-8	6	-20	-12	-4	-10	8	-18
4	-12	18	6	-4	-16	-10	-2	-16	-8	2	0	4	2	-20	-2	-6	18	-20	4
18	-18	18	4	-16	-18	-14	-6	-18	-2	4	0	-14	0	-8	6	-14	10	-14	-2
14	8	-20	8	12	4	-2	8	-16	16	-16	8	-6	-18	-12	-10	-8	-16	-6	8
8	8	0	-10	12	18	0	2	-8	12	0	-2	-6	-16	0	2	4	12	14	-8
10	-14	-10	-4	-10	-10	8	8	16	-14	-8	16	2	8	-14	16	2	18	-18	6
-14	14	-8	-2	-8	16	-6	12	-2	14	-10	10	8	-6	-4	4	18	6	8	-14
-2	-2	10	10	-16	0	-4	-2	-4	6	14	8	18	-16	-20	-2	-10	10	8	-14
-14	18	-4	0	-16	-8	18	-14	-4	-12	18	12	6	-6	-16	-16	14	-10	-14	-6
0	-8	-10	-16	16	-10	0	-18	-6	-2	12	-14	-16	18	8	-6	-2	2	8	0
18	-14	16	-10	-12	0	-20	-10	8	12	-16	8	-6	14	-8	14	12	6	-16	-18
14	-14	-12	-20	-8	6	12	18	-2	-16	8	-14	-18	6	6	8	-14	-16	-12	-10
18	16	-2	2	6	2	-14	2	4	4	-20	6	10	0	8	16	-16	12	-10	4
-14	6	8	12	-16	10	18	10	8	0	16	-14	-18	-18	-16	10	-2	-12	-12	12
-6	0	-14	-10	-10	-2	8	14	-14	14	-18	-12	10	6	0	18	8	12	6	-12
